Threshold,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,False_Negative_Rate,Predicted_Higher_Risk_Rate
0.8,0.8829405638909246,0.9932609509546986,0.4679012345679012,0.6361347560244575,0.0008885817248358592,0.5320987654320988,0.1030200177421221
0.81,0.8823620164307479,0.9943396226415094,0.46472663139329806,0.6334134615384616,0.0007404847706965494,0.5352733686067019,0.1022100512978748
0.8200000000000001,0.8820534577853203,0.9958238420653,0.46261022927689593,0.6317437379576107,0.0005430221651774696,0.537389770723104,0.10159293400701971
0.8300000000000001,0.8816291896478574,0.9961846623426173,0.4604938271604938,0.6298395850922687,0.0004936565137976996,0.5395061728395062,0.10109152620819994
0.8400000000000001,0.8812820611717515,0.9969325153374233,0.4585537918871252,0.6281710558105823,0.0003949252110381596,0.5414462081128748,0.10059011840938019
0.85,0.8808192232036102,0.9973014649190439,0.4562610229276896,0.6260890609874153,0.0003455595596583897,0.5437389770723104,0.10005014077988197
0.86,0.8805878042195395,0.9980650154798761,0.45485008818342154,0.6249091349648656,0.0002468282568988498,0.5451499118165785,0.09966444247309754
0.87,0.8800863964207197,0.9984429739198132,0.4523809523809524,0.6226483796577255,0.0001974626055190798,0.5476190476190477,0.0990858950129209
0.88,0.8796621282832569,0.9984362783424551,0.45044091710758377,0.6208070004861449,0.0001974626055190798,0.5495590828924162,0.09866162687545801
0.89,0.8791992903151156,0.9984289080911233,0.44832451499118164,0.618792599805258,0.0001974626055190798,0.5516754850088184,0.0981987889073167
0.9,0.8785821730242604,0.9988132911392406,0.445326278659612,0.616003903391071,0.00014809695413930986,0.5546737213403881,0.09750453195510472
0.91,0.878119335056119,0.9988076311605724,0.44320987654320987,0.6139750794038602,0.00014809695413930986,0.5567901234567901,0.0970416939869634
0.92,0.8776179272572994,0.9988014382740711,0.4409171075837742,0.6117704637220115,0.00014809695413930986,0.5590828924162258,0.09654028618814363
0.93,0.8771936591198365,0.9987961476725522,0.43897707231040567,0.6098995344278363,0.00014809695413930986,0.5610229276895944,0.09611601805068076
0.9400000000000001,0.8762679831835538,0.9987844408427877,0.4347442680776014,0.6057999508478742,0.00014809695413930986,0.5652557319223986,0.09519034211439811
0.9500000000000001,0.875766575384734,0.9987780040733197,0.43245149911816577,0.6035692307692307,0.00014809695413930986,0.5675485008818342,0.09468893431557836
0.9600000000000001,0.8750337486018437,0.9991783073130649,0.4289241622574956,0.6001974333662389,9.87313027595399e-05,0.5710758377425044,0.09387896787133104
0.97,0.8745323408030239,0.9995866060355518,0.4264550264550265,0.5978489306465571,4.936565137976995e-05,0.5735449735449736,0.0933004204111544
0.98,0.8744166313109886,1.0,0.4257495590828924,0.5972290945076695,0.0,0.5742504409171075,0.09310757125776217
0.99,0.8731438268985999,1.0,0.4199294532627866,0.5914793193392125,0.0,0.5800705467372134,0.09183476684537355
